address;lon;lat;CnpjBase;CnpjSequencial;CnpjDv;NomeIf;Segmento;CodigoCompe;NomeAgencia;Endereco;Numero;Complemento;Bairro;Cep;MunicipioIbge;Municipio;UF;DataInicio;DDD;Telefone;Posicao;endereco_completo
Avenida Brigadeiro Faria Lima 3064, Itaim Bibi, São Paulo, 01451-000;-46.684069962559306;-23.583290001183414;30306294;16;21;BANCO BTG PACTUAL S.A.;Banco Múltiplo;30.0;BAAS;AVENIDA BRIGADEIRO FARIA LIMA;3064;12º ANDAR;ITAIM BIBI;01425-010;3550308;SAO PAULO;SP;07/08/2020;11.0;3383.0;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 3064, ITAIM BIBI, 01425-010, SAO PAULO
Rua Cantagalo 501, Tatuapé, São Paulo, 03319-000;-46.56914996289143;-23.546160014134912;58160789;120;53;BANCO SAFRA S.A.;Banco Múltiplo;140.0;TATUAPE;RUA CANTAGALO, CONJS. 501 A 505 BLOCO A;;LOJAS 1, 2, 3, 4 E 5 DO PAVIMENTO TÉRREO;VILA GOMES CARDIM;03319-000;3550308;SAO PAULO;SP;28/03/1994;11.0;20956150.0;28/12/2021;RUA CANTAGALO, CONJS. 501 A 505 BLOCO A, , VILA GOMES CARDIM, 03319-000, SAO PAULO
Avenida Paulista 1450, Bela Vista, São Paulo, 01310-100;-46.65516002413591;-23.5623499953944;58160789;200;72;BANCO SAFRA S.A.;Banco Múltiplo;282.0;DIGITAL;AVENIDA PAULISTA;1450;17º AND CONJ.175 - COND. CETENCO PLAZA TORRE NORTE;BELA VISTA;01310-930;3550308;SAO PAULO;SP;03/12/2019;11.0;31757575.0;28/12/2021;AVENIDA PAULISTA, 1450, BELA VISTA, 01310-930, SAO PAULO
Rua Augusta, Jardim Paulista, São Paulo, 01413-100;-46.66701489354862;-23.564621234212087;90400888;775;28;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;2073.0;ANTILHAS-SP-SP;RUA AUGUSTA;129;LJ / SLJ;CERQUEIRA CESAR;01413-100;3550308;SAO PAULO;SP;31/08/2006;11.0;30626366.0;28/12/2021;RUA AUGUSTA, 129, CERQUEIRA CESAR, 01413-100, SAO PAULO
Avenida Engenheiro Luís Carlos Berrini, Itaim Bibi, São Paulo, 04571-010;-46.69183994489342;-23.60271495701872;11703662;1;44;TRAVELEX BANCO DE CÂMBIO S.A.;Banco de Câmbio;;MATRIZ;AV ENG. LUIZ CARLOS BERRINI;;5º ANDAR - CONJS 51 E 52 - EDIFÍCIO BERRINI ONE;CIDADE MONÇÕES;04571-010;3550308;SAO PAULO;SP;01/03/2016;11.0;36141100.0;28/12/2021;AV ENG. LUIZ CARLOS BERRINI, , CIDADE MONÇÕES, 04571-010, SAO PAULO
Avenida Brigadeiro Faria Lima 3064, Itaim Bibi, São Paulo, 01451-000;-46.684069962559306;-23.583290001183414;69720910;1;45;CCB BRASIL ARRENDAMENTO MERCANTIL S/A;Sociedade de Arrendamento Mercantil;;MATRIZ;AVENIDA BRIGADEIRO FARIA LIMA;3064;2º ANDAR, SALA 6;ITAIM BIBI;04538-132;3550308;SAO PAULO;SP;02/10/2018;;;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 3064, ITAIM BIBI, 04538-132, SAO PAULO
Avenida das Nações Unidas 14401, Santo Amaro, São Paulo, 04795-100;-46.70430002114935;-23.624489988956825;52937216;1;81;BEXS CORRETORA DE CÂMBIO S/A;Sociedade Corretora de Câmbio;;MATRIZ;AVENIDA DAS NAÇÕES UNIDAS;14401;11 ANDAR;BROOKLIN PAULISTA;04578-901;3550308;SAO PAULO;SP;20/08/1996;11.0;27125300.0;28/12/2021;AVENIDA DAS NAÇÕES UNIDAS, 14401, BROOKLIN PAULISTA, 04578-901, SAO PAULO
Rua Doutor João Ribeiro, Penha, São Paulo, 03634-010;-46.54755877718277;-23.524362929744356;90400888;1600;0;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;4341.0;001-4341 SP-AV.PENHA DE FRANCA;R DR JOAO RIBEIRO;;;PENHA DE FRANCA;03634-010;3550308;SAO PAULO;SP;30/04/2009;;8.0;28/12/2021;R DR JOAO RIBEIRO, , PENHA DE FRANCA, 03634-010, SAO PAULO
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-011;-46.68628486239098;-23.591626163434366;90400888;807;40;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;2270.0;001 2270 PRIVATE;AV P JUSC. KUBITSCHEK;;7ANDAR;ITAIM BIBI;04543-011;3550308;SAO PAULO;SP;31/08/2006;11.0;35535027.0;28/12/2021;AV P JUSC. KUBITSCHEK, , ITAIM BIBI, 04543-011, SAO PAULO
Praça Eduardo Rudge;-46.615849999999966;-23.531469999999956;90400888;2555;66;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;987.0;001 0987 PARI I;PCA EDUARDO RUDGE;;;PARI;03028-010;3550308;SAO PAULO;SP;30/12/2010;11.0;26121500.0;28/12/2021;PCA EDUARDO RUDGE, , PARI, 03028-010, SAO PAULO
Avenida Imirim 1421, Santana, São Paulo, 02465-100;-46.6477999587766;-23.49346998776005;90400888;1422;81;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;4728.0;001 4728 URB-SP-IMIRIM;AVENIDA IMIRIM;1421;1128;IMIRIM;02465-100;3550308;SAO PAULO;SP;30/04/2009;11.0;30112900.0;28/12/2021;AVENIDA IMIRIM, 1421, IMIRIM, 02465-100, SAO PAULO
Avenida Ipiranga, República, São Paulo, 01040-000;-46.63878725462067;-23.5412479211878;90400888;887;24;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;243.0;VINTE QUATRO DE MAIO;AV IPIRANGA;;7º ANDAR;REPUBLICA;01040-000;3550308;SAO PAULO;SP;31/08/2006;11.0;33527250.0;28/12/2021;AV IPIRANGA, , REPUBLICA, 01040-000, SAO PAULO
Avenida Pedroso de Morais 1201, Pinheiros, São Paulo, 05420-001;-46.693781690531786;-23.560986318431606;90400888;806;69;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;2199.0;PCA PANAMERICANA-SP-SP;AV PEDROSO DE MORAIS;1201;;PINHEIROS;05420-003;3550308;SAO PAULO;SP;31/08/2006;11.0;30245151.0;28/12/2021;AV PEDROSO DE MORAIS, 1201, PINHEIROS, 05420-003, SAO PAULO
Rua Líbero Badaró, Sé, São Paulo, 01009-000;-46.63753278141065;-23.548948119937297;24074692;1;80;GUITTA CORRETORA DE CAMBIO LTDA.;Sociedade Corretora de Câmbio;;MATRIZ;RUA LIBERO BADARO,;;6 AND CJ A / B;CENTRO;01009-000;3550308;SAO PAULO;SP;03/10/1988;11.0;31163500.0;28/12/2021;RUA LIBERO BADARO,, , CENTRO, 01009-000, SAO PAULO
Rua Doutor Eduardo de Souza Aranha, Itaim Bibi, São Paulo, 04543-121;-46.67566752727955;-23.58896055380644;63062749;1;83;FATOR S.A. - CORRETORA DE VALORES;Sociedade Corretora de TVM;;MATRIZ;RUA DOUTOR EDUARDO DE SOUZA ARANHA;;5º ANDAR - CONJUNTOS 51 E 52;VILA NOVA CONCEIÇÃO;04543-121;3550308;SAO PAULO;SP;09/02/1971;11.0;30499400.0;28/12/2021;RUA DOUTOR EDUARDO DE SOUZA ARANHA, , VILA NOVA CONCEIÇÃO, 04543-121, SAO PAULO
Rua Joaquim Floriano 960, Itaim Bibi, São Paulo, 04534-004;-46.67926998188685;-23.58573998957209;1788147;1;50;H.COMMCOR DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Sociedade Distribuidora de TVM;;MATRIZ;RUA JOAQUIM FLORIANO, Nº 960;;14º ANDAR, CONJUNTOS 141 E 142;ITAIM BIBI;04534-004;3550308;SAO PAULO;SP;30/03/2009;11.0;21272741.0;28/12/2021;RUA JOAQUIM FLORIANO, Nº 960, , ITAIM BIBI, 04534-004, SAO PAULO
05317-020, Vila Leopoldina, São Paulo;-46.73273942065788;-23.540240838153732;23903068;1;86;BANCO KOMATSU DO BRASIL S.A.;Banco Múltiplo;1.0;MATRIZ;AVENIDA MANUEL BANDEIRA;291;BLOCO D - CONJ 11 - COND ATLAS OFFICE PARK;VILA LEOPOLDINA;05317-020;3550308;SAO PAULO;SP;25/04/2016;;;28/12/2021;AVENIDA MANUEL BANDEIRA, 291, VILA LEOPOLDINA, 05317-020, SAO PAULO
Avenida Presidente Juscelino Kubitschek 44, Itaim Bibi, São Paulo, 04543-000;-46.67129033146845;-23.58512265701284;62144175;1;20;BANCO PINE S.A.;Banco Múltiplo;1.0;MATRIZ;AV. PRES. JUS. KUBITSCHEK, SL 44,54 E 64;;4º, 5º E 6º AND. -BLOCO 4- CONDOMÍNIO ED. SÃO LUIZ;VILA NOVA CONCEIÇÃO;04543-000;3550308;SAO PAULO;SP;17/09/1991;11.0;33725200.0;28/12/2021;AV. PRES. JUS. KUBITSCHEK, SL 44,54 E 64, , VILA NOVA CONCEIÇÃO, 04543-000, SAO PAULO
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-011;-46.68016418678396;-23.590297471743032;58160789;176;8;BANCO SAFRA S.A.;Banco Múltiplo;198.0;JK;AV. PRES. JUSCELINO KUBITSCHEK, LOJA,;;SOBRELOJA, 15º, 16º ANDAR,SALAS 151,152/161 E 162;VILA NOVA CONCEIÇÃO;04543-011;3550308;SAO PAULO;SP;22/03/2011;11.0;32172502.0;28/12/2021;AV. PRES. JUSCELINO KUBITSCHEK, LOJA,, , VILA NOVA CONCEIÇÃO, 04543-011, SAO PAULO
Avenida Paulista 2064, Consolação, São Paulo, 01310-200;-46.6595699948536;-23.558399981613462;90400888;2952;74;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;1821.0;001 1821 SELECT AV PAULISTA SP;AV PAULISTA;2064;TERRO;BELA VISTA;01310-100;3550308;SAO PAULO;SP;05/12/2016;11.0;31493650.0;28/12/2021;AV PAULISTA, 2064, BELA VISTA, 01310-100, SAO PAULO
Avenida Paulista 2028, Consolação, São Paulo, 01310-200;-46.659339995430486;-23.558639997410893;90400888;833;31;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;204.0;001 0204 PAMPLONA II;AV PAULISTA;2028;6 ANDAR;BELA VISTA;01311-926;3550308;SAO PAULO;SP;31/08/2006;11.0;30165377.0;28/12/2021;AV PAULISTA, 2028, BELA VISTA, 01311-926, SAO PAULO
Avenida Paulista, Jardim Paulista, São Paulo, 01311-200;-46.65794598114107;-23.560235980568027;62375134;1;44;BRAM - BRADESCO ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Sociedade Distribuidora de TVM;;MATRIZ;AV PAULISTA;;6 ANDAR;CERQUEIRA CESAR;01310-917;3550308;SAO PAULO;SP;13/02/2002;;;28/12/2021;AV PAULISTA, , CERQUEIRA CESAR, 01310-917, SAO PAULO
Avenida Brigadeiro Faria Lima 3144, Itaim Bibi, São Paulo, 01451-000;-46.683699985353144;-23.5839999902919;90400888;2873;36;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;1696.0;001 1696 SELECT FARIA LIMA SP;AV BRIG FARIA LIMA;3144;6ANDAR;JD PAULISTANO;01452-000;3550308;SAO PAULO;SP;05/12/2016;11.0;30382700.0;28/12/2021;AV BRIG FARIA LIMA, 3144, JD PAULISTANO, 01452-000, SAO PAULO
Avenida Brigadeiro Faria Lima, Itaim Bibi, São Paulo, 04538-132;-46.68227378111244;-23.587956396220477;69720894;1;90;CCB BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;Sociedade Distribuidora de TVM;;MATRIZ;AVENIDA BRIGADEIRO FARIA LIMA;2018;2º ANDAR;ITAIM BIBI;04538-132;3550308;SAO PAULO;SP;05/10/2015;;;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 2018, ITAIM BIBI, 04538-132, SAO PAULO
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-000;-46.67599063895138;-23.588929151604663;2332886;11;78;XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;Sociedade Corretora de TVM;2.0;CLEAR CORRETORA;AVENIDA PRESIDENTE JUSCELINO KUBITSCHECK;;TORRE SUL, 25º AO 30º ANDARES;VILA NOVA CONCEIÇÃO;04543-907;3550308;SAO PAULO;SP;07/10/2008;11.0;35261300.0;28/12/2021;AVENIDA PRESIDENTE JUSCELINO KUBITSCHECK, , VILA NOVA CONCEIÇÃO, 04543-907, SAO PAULO
Avenida Doutor Eduardo Cotching, Vila Formosa, São Paulo, 03356-001;-46.54021583731156;-23.56938242436764;90400888;1440;63;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;4631.0;001 4631 AV EDUARDO COTCHING-SP I;AV DR EDUARDO COTCHING;;;VILA FORMOSA;03356-001;3550308;SAO PAULO;SP;30/04/2009;11.0;20757900.0;28/12/2021;AV DR EDUARDO COTCHING, , VILA FORMOSA, 03356-001, SAO PAULO
