"CnpjBase","CnpjSequencial","CnpjDv","NomeIf","Segmento","CodigoCompe","NomeAgencia","Endereco","Numero","Complemento","Bairro","Cep","MunicipioIbge","Municipio","UF","DataInicio","DDD","Telefone","Posicao"
30306294,16,21,"BANCO BTG PACTUAL S.A.","Banco Múltiplo","00030","BAAS","AVENIDA BRIGADEIRO FARIA LIMA","3064","12º ANDAR","ITAIM BIBI","01425-010",3550308,"SAO PAULO","SP","07/08/2020","11","3383","28/12/2021"
58160789,120,53,"BANCO SAFRA S.A.","Banco Múltiplo","00140","TATUAPE","RUA CANTAGALO, CONJS. 501 A 505 BLOCO A","","LOJAS 1, 2, 3, 4 E 5 DO PAVIMENTO TÉRREO","VILA GOMES CARDIM","03319-000",3550308,"SAO PAULO","SP","28/03/1994","11","20956150","28/12/2021"
58160789,200,72,"BANCO SAFRA S.A.","Banco Múltiplo","00282","DIGITAL","AVENIDA PAULISTA","1450","17º AND CONJ.175 - COND. CETENCO PLAZA TORRE NORTE","BELA VISTA","01310-930",3550308,"SAO PAULO","SP","03/12/2019","11","31757575","28/12/2021"
90400888,775,28,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","02073","ANTILHAS-SP-SP","RUA AUGUSTA","129","LJ / SLJ","CERQUEIRA CESAR","01413-100",3550308,"SAO PAULO","SP","31/08/2006","11","30626366","28/12/2021"
11703662,1,44,"TRAVELEX BANCO DE CÂMBIO S.A.","Banco de Câmbio","null","MATRIZ","AV ENG. LUIZ CARLOS BERRINI","","5º ANDAR - CONJS 51 E 52 - EDIFÍCIO BERRINI ONE","CIDADE MONÇÕES","04571-010",3550308,"SAO PAULO","SP","01/03/2016","11","36141100","28/12/2021"
69720910,1,45,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","Sociedade de Arrendamento Mercantil","null","MATRIZ","AVENIDA BRIGADEIRO FARIA LIMA","3064","2º ANDAR, SALA 6","ITAIM BIBI","04538-132",3550308,"SAO PAULO","SP","02/10/2018","null","null","28/12/2021"
52937216,1,81,"BEXS CORRETORA DE CÂMBIO S/A","Sociedade Corretora de Câmbio","null","MATRIZ","AVENIDA DAS NAÇÕES UNIDAS","14401","11 ANDAR","BROOKLIN PAULISTA","04578-901",3550308,"SAO PAULO","SP","20/08/1996","11","27125300","28/12/2021"
90400888,1600,0,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04341","001-4341 SP-AV.PENHA DE FRANCA","R DR JOAO RIBEIRO","","","PENHA DE FRANCA","03634-010",3550308,"SAO PAULO","SP","30/04/2009","null","8","28/12/2021"
90400888,807,40,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","02270","001 2270 PRIVATE","AV P JUSC. KUBITSCHEK","","7ANDAR","ITAIM BIBI","04543-011",3550308,"SAO PAULO","SP","31/08/2006","11","35535027","28/12/2021"
90400888,2555,66,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00987","001 0987 PARI I","PCA EDUARDO RUDGE","","","PARI","03028-010",3550308,"SAO PAULO","SP","30/12/2010","11","26121500","28/12/2021"
90400888,1422,81,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04728","001 4728 URB-SP-IMIRIM","AVENIDA IMIRIM","1421","1128","IMIRIM","02465-100",3550308,"SAO PAULO","SP","30/04/2009","11","30112900","28/12/2021"
90400888,887,24,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00243","VINTE QUATRO DE MAIO","AV IPIRANGA","","7º ANDAR","REPUBLICA","01040-000",3550308,"SAO PAULO","SP","31/08/2006","11","33527250","28/12/2021"
90400888,806,69,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","02199","PCA PANAMERICANA-SP-SP","AV PEDROSO DE MORAIS","1201","","PINHEIROS","05420-003",3550308,"SAO PAULO","SP","31/08/2006","11","30245151","28/12/2021"
24074692,1,80,"GUITTA CORRETORA DE CAMBIO LTDA.","Sociedade Corretora de Câmbio","null","MATRIZ","RUA LIBERO BADARO,","","6 AND CJ A / B","CENTRO","01009-000",3550308,"SAO PAULO","SP","03/10/1988","11","31163500","28/12/2021"
