simulacao,pop_total,pop_buffer,perc_atendimento,nome_distrito,cod_distrito
simulacao_6_2,70923,2879,0.040593319515530926,JOSE BONIFACIO,47
simulacao_6_2,148795,24763,0.1664236029436473,JD SAO LUIS,46
simulacao_6_2,53289,9443,0.17720355045131264,ARTUR ALVIM,5
simulacao_6_2,12937,3901,0.30153822369946665,JAGUARA,40
simulacao_6_2,57243,27494,0.48030326852191535,VILA PRUDENTE,93
simulacao_6_2,28845,7590,0.2631305252210088,JAGUARE,41
simulacao_6_2,106715,9294,0.08709178653422668,JARAGUA,42
simulacao_6_2,65985,9266,0.1404258543608396,JD HELENA,44
simulacao_6_2,52431,50023,0.9540729720966604,JD PAULISTA,45
simulacao_6_2,85466,7569,0.08856153324128893,LAJEADO,96
simulacao_6_2,37636,19913,0.5290944840046764,LAPA,48
simulacao_6_2,40595,32755,0.8068727675822146,LIBERDADE,49
simulacao_6_2,41208,15341,0.3722820811492914,LIMAO,50
simulacao_6_2,64396,32799,0.509332877818498,VILA MEDEIROS,92
simulacao_6_2,164446,4140,0.02517543752964499,JD ANGELA,43
simulacao_6_2,74193,993,0.013384011968784117,PARELHEIROS,55
simulacao_6_2,63979,11954,0.18684255771424998,VILA SONIA,94
simulacao_6_2,45297,21723,0.4795681833233989,AGUA RASA,1
simulacao_6_2,23607,6150,0.26051594865929595,ALTO DE PINHEIROS,2
simulacao_6_2,43082,0,0.0,ANHANGUERA,3
simulacao_6_2,45832,15418,0.33640251352766626,ARICANDUVA,4
simulacao_6_2,8811,6081,0.690160027238679,BARRA FUNDA,6
simulacao_6_2,41378,41086,0.9929431098651458,BELA VISTA,7
simulacao_6_2,25126,9268,0.3688609408580753,BELEM,8
simulacao_6_2,19956,14121,0.7076067348165965,BOM RETIRO,9
simulacao_6_2,16810,14400,0.8566329565734682,BRAS,10
simulacao_6_2,137272,10291,0.07496794685004954,BRASILANDIA,11
simulacao_6_2,30266,9383,0.3100178418026829,BUTANTA,12
simulacao_6_2,73074,15276,0.20904836193447737,CACHOEIRINHA,13
simulacao_6_2,21749,13035,0.5993379005931307,CAMBUCI,14
simulacao_6_2,35261,26153,0.7416976262726525,CAMPO BELO,15
simulacao_6_2,58047,20229,0.34849346219442867,CAMPO GRANDE,16
simulacao_6_2,116079,16228,0.13980134218937104,CAMPO LIMPO,17
simulacao_6_2,71558,7452,0.10413929958914447,CANGAIBA,18
simulacao_6_2,148086,38156,0.2576610888267628,CAPAO REDONDO,19
simulacao_6_2,46910,21871,0.4662332125346408,CARRAO,20
simulacao_6_2,45522,22070,0.48482052633891304,CASA VERDE,21
simulacao_6_2,144359,50798,0.3518866160059297,CID ADEMAR,22
simulacao_6_2,104426,12467,0.1193859766724762,CID DUTRA,23
simulacao_6_2,69814,4841,0.0693413928438422,CID LIDER,24
simulacao_6_2,115371,0,0.0,CID TIRADENTES,25
simulacao_6_2,34088,29826,0.8749706641633419,CONSOLACAO,26
simulacao_6_2,61633,18273,0.2964807813995749,CURSINO,27
simulacao_6_2,60670,15061,0.24824460194494807,ERMELINO MATARAZZO,28
simulacao_6_2,74568,28236,0.3786610878661088,FREGUESIA DO O,29
simulacao_6_2,191219,3289,0.017200173622914042,GRAJAU,30
simulacao_6_2,54067,6513,0.12046164943496032,GUAIANASES,31
simulacao_6_2,73335,6759,0.0921660871343833,IGUATEMI,33
