CnpjBase,CnpjSequencial,CnpjDv,NomeIf,Segmento,CodigoCompe,NomeAgencia,Endereco,Numero,Complemento,Bairro,Cep,MunicipioIbge,Municipio,UF,DataInicio,DDD,Telefone,Posicao
60746948,9648,55,BANCO BRADESCO S.A.,Banco Múltiplo,07059,"TOP TIER - BRASILIA, DF","SETOR SCS, QD 2, BL A 81, S/N, 1º PAV",,EDIF BRADESCO BRASILIA,ASA SUL,70329-900,5300108,BRASILIA,DF,12/11/2018,61,32181117,28/12/2021
00360305,4791,24,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,04791,"ITARIRI, SP",AVENIDA JOSE FERREIRA FRANCO,,,CENTRO,11760-000,3523305,ITARIRI,SP,14/06/2013,13,34188100,28/12/2021
60701190,4669,95,ITAÚ UNIBANCO S.A.,Banco Múltiplo,09691,PERSONNALITE AMERICANA,RUA WASHINGTON LUIZ,420,,CENTRO,13465-520,3501608,AMERICANA,SP,10/07/2012,11,30034828,28/12/2021
00000000,7687,23,BANCO DO BRASIL S.A.,Banco Múltiplo,09190,ESCR.EXC.RUDGE RAMOS,"AV.SENADOR VERGUEIRO,4285",,SALA B,R RAMOS,09605-000,3548708,SAO BERNARDO DO CAMPO,SP,21/09/2018,11,40033001,28/12/2021
00000000,7686,42,BANCO DO BRASIL S.A.,Banco Múltiplo,09189,ESCR.EXC.S.B.CAMPO,"AV.SENADOR VERGUEIRO,4285",,SALA A,R FRAMOS,09605-000,3548708,SAO BERNARDO DO CAMPO,SP,21/09/2018,11,40033001,28/12/2021
92702067,0082,51,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,Banco Múltiplo,00440,VACARIA,AV. DR. FLORES,,,CENTRO,95200-000,4322509,VACARIA,RS,23/05/1931,54,39082000,28/12/2021
90400888,1260,81,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,00805,001 0805 S.CRISTOVAO-CABO FRIO-RJ,AV TEIXEIRA E SOUZA,,,BRAGA,28909-001,3300704,CABO FRIO,RJ,26/01/2009,22,26462900,28/12/2021
43815158,0007,18,BTG PACTUAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Sociedade Corretora de TVM,00002,BTG PACTUAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,RUA DA QUITANDA,0196,"SALA 701, CENTRO",CENTRO,20091-902,3304557,RIO DE JANEIRO,RJ,14/09/2021,11,3383,28/12/2021
00000000,4518,78,BANCO DO BRASIL S.A.,Banco Múltiplo,03437,CORP BANK FLUMINENSE,R  LELIO GAMA,,4º E 37º ANDARES - ED. SEDAN,CENTRO,20031-080,3304557,RIO DE JANEIRO,RJ,12/07/2016,21,38086459,28/12/2021
04913711,0111,42,BANCO DO ESTADO DO PARÁ S.A.,Banco Múltiplo,00111,SANTO ANTONIO DO TAUA,RUA SENADOR LEMOS,,,CENTRO,68786-000,1507003,SANTO ANTONIO DO TAUA,PA,20/06/2016,91,37751784,28/12/2021
