address;lon;lat
Avenida Brigadeiro Faria Lima 3064, Itaim Bibi, São Paulo, 01451-000;-46.684069962559306;-23.583290001183414
Rua Cantagalo 501, Tatuapé, São Paulo, 03319-000;-46.56914996289143;-23.546160014134912
Avenida Paulista 1450, Bela Vista, São Paulo, 01310-100;-46.65516002413591;-23.5623499953944
Rua Augusta, Jardim Paulista, São Paulo, 01413-100;-46.66701489354862;-23.564621234212087
Avenida Engenheiro Luís Carlos Berrini, Itaim Bibi, São Paulo, 04571-010;-46.69183994489342;-23.60271495701872
Avenida Brigadeiro Faria Lima 3064, Itaim Bibi, São Paulo, 01451-000;-46.684069962559306;-23.583290001183414
Avenida das Nações Unidas 14401, Santo Amaro, São Paulo, 04795-100;-46.70430002114935;-23.624489988956825
Rua Doutor João Ribeiro, Penha, São Paulo, 03634-010;-46.54755877718277;-23.524362929744356
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-011;-46.68628486239098;-23.591626163434366
Praça Eduardo Rudge;-46.615849999999966;-23.531469999999956
Avenida Imirim 1421, Santana, São Paulo, 02465-100;-46.6477999587766;-23.49346998776005
Avenida Ipiranga, República, São Paulo, 01040-000;-46.63878725462067;-23.5412479211878
Avenida Pedroso de Morais 1201, Pinheiros, São Paulo, 05420-001;-46.693781690531786;-23.560986318431606
Rua Líbero Badaró, Sé, São Paulo, 01009-000;-46.63753278141065;-23.548948119937297
Rua Doutor Eduardo de Souza Aranha, Itaim Bibi, São Paulo, 04543-121;-46.67566752727955;-23.58896055380644
Rua Joaquim Floriano 960, Itaim Bibi, São Paulo, 04534-004;-46.67926998188685;-23.58573998957209
05317-020, Vila Leopoldina, São Paulo;-46.73273942065788;-23.540240838153732
Avenida Presidente Juscelino Kubitschek 44, Itaim Bibi, São Paulo, 04543-000;-46.67129033146845;-23.58512265701284
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-011;-46.68016418678396;-23.590297471743032
Avenida Paulista 2064, Consolação, São Paulo, 01310-200;-46.6595699948536;-23.558399981613462
Avenida Paulista 2028, Consolação, São Paulo, 01310-200;-46.659339995430486;-23.558639997410893
Avenida Paulista, Jardim Paulista, São Paulo, 01311-200;-46.65794598114107;-23.560235980568027
Avenida Brigadeiro Faria Lima 3144, Itaim Bibi, São Paulo, 01451-000;-46.683699985353144;-23.5839999902919
Avenida Brigadeiro Faria Lima, Itaim Bibi, São Paulo, 04538-132;-46.68227378111244;-23.587956396220477
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-000;-46.67599063895138;-23.588929151604663
Avenida Doutor Eduardo Cotching, Vila Formosa, São Paulo, 03356-001;-46.54021583731156;-23.56938242436764
Avenida Paulista 2028, Consolação, São Paulo, 01310-200;-46.659339995430486;-23.558639997410893
Avenida Paulista, Bela Vista, São Paulo, 01311-000;-46.648864921484545;-23.567874968782007
Avenida Brigadeiro Faria Lima 3900, Itaim Bibi, São Paulo, 04538-132;-46.681769968327956;-23.59020000025174
Avenida Brigadeiro Faria Lima 1384, Pinheiros, São Paulo, 01451-001;-46.69176002344665;-23.56988000384061
Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo, 01452-000;-46.68775988588472;-23.575614964857515
Rua Araritaguaba, Vila Maria, São Paulo, 02122-011;-46.58389973656731;-23.513558706247096
Rua Cláudio Soares 72, Pinheiros, São Paulo, 05422-030;-46.69347001551347;-23.56843999287507
Avenida Brigadeiro Faria Lima, Itaim Bibi, São Paulo, 04538-132;-46.68227378111244;-23.587956396220477
Praça Sílvio Romero, Tatuapé, São Paulo, 03323-000;-46.57366861294436;-23.545096995458852
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-011;-46.68628486239098;-23.591626163434366
Rua Borges Lagoa, Vila Mariana, São Paulo, 04038-031;-46.64394099708997;-23.597049267437924
Avenida Ibirapuera 3103, Moema, São Paulo, 04029-200;-46.66774000351677;-23.609790016715323
Avenida Brigadeiro Faria Lima 3320, Itaim Bibi, São Paulo, 04538-132;-46.683130015937195;-23.58552000652324
Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo, 01451-001;-46.69043468344513;-23.571951398953278
Avenida Brigadeiro Faria Lima, Itaim Bibi, São Paulo, 04538-132;-46.68227378111244;-23.587956396220477
Avenida Engenheiro Luís Carlos Berrini, Itaim Bibi, São Paulo, 04571-010;-46.69183994489342;-23.60271495701872
Avenida das Nações Unidas 14401, Santo Amaro, São Paulo, 04795-100;-46.70430002114935;-23.624489988956825
Rua Capote Valente 120, Jardim Paulista, São Paulo, 05409-000;-46.67362996687817;-23.560139980893652
Rua da Consolação, República, São Paulo, 01302-000;-46.6427599203972;-23.547879938756992
Avenida Mazzei 173, Tucuruvi, São Paulo, 02310-000;-46.60691903307183;-23.478409201880822
Avenida Jabaquara 1219, Saúde, São Paulo, 04045-010;-46.638199997431684;-23.614819996810894
Avenida Rebouças, Pinheiros, São Paulo, 05401-300;-46.68610995015413;-23.56866995038868
Praça Professor José Azevedo Antunes, Lapa, São Paulo, 05072-000;-46.70506994086554;-23.52415994905129
Avenida Brigadeiro Faria Lima 3064, Itaim Bibi, São Paulo, 01451-000;-46.684069962559306;-23.583290001183414
Rua Joaquim Floriano, Itaim Bibi, São Paulo, 04534-011;-46.67401470640134;-23.58446557404271
Avenida Paulista, Bela Vista, São Paulo, 01310-200;-46.65770726242239;-23.56026793427354
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306
Avenida Santa Marina 2618, Freguesia do Ó, São Paulo, 02732-040;-46.69456997266718;-23.50186999584635
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306
Avenida Presidente Juscelino Kubitschek 2041, Itaim Bibi, São Paulo, 04543-011;-46.69059996804717;-23.5903999924615
Rua Pires da Mota 488, Liberdade, São Paulo, 01529-001;-46.633379984010645;-23.566630004703356
Avenida Presidente Juscelino Kubitschek 1327, Itaim Bibi, São Paulo, 04543-011;-46.6811710878469;-23.59062659818768
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306
Rua Domingos de Morais 3093, Saúde, São Paulo, 04036-100;-46.636610034218336;-23.60372001007373
Avenida Paulista 1274, Bela Vista, São Paulo, 01310-100;-46.65378002759712;-23.56338998003089
Rua da Quitanda, Sé, São Paulo, 01012-010;-46.63508364624286;-23.54769930367436
Rua Cubatão 86, Vila Mariana, São Paulo, 04013-000;-46.64518002730105;-23.572869996341353
04344-000, Jabaquara, São Paulo;-46.64437956947399;-23.63446681421728
Rua Líbero Badaró 318, Sé, São Paulo, 01008-000;-46.636371521771395;-23.546840680196823
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306
Avenida São Miguel 2328, Ponte Rasa, São Paulo, 03619-100;-46.508579983612805;-23.51104000746787
04344-000, Jabaquara, São Paulo;-46.64437956947399;-23.63446681421728
Avenida Brigadeiro Faria Lima 3729, Itaim Bibi, São Paulo, 04538-133;-46.681650023293514;-23.588909983443514
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306
Rua Cantagalo 74, Tatuapé, São Paulo, 03319-000;-46.57304000415516;-23.547139984344668
Rua Quinze de Novembro 111, Sé, São Paulo, 01013-001;-46.634150029455384;-23.547920004254166
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306
Avenida Francisco Matarazzo 1400, Barra Funda, São Paulo, 05001-100;-46.67578000886169;-23.525979995506802
Alameda dos Jurupis 1156, Moema, São Paulo, 04088-003;-46.66390266438761;-23.60856896293379
Alameda Vicente Pinzon 173, Itaim Bibi, São Paulo, 04547-130;-46.6866000400328;-23.597099982945764
Rua Quinze de Novembro 324, Sé, São Paulo, 01013-001;-46.63426000002505;-23.546010019977587
Avenida Brigadeiro Faria Lima 3729, Itaim Bibi, São Paulo, 04538-133;-46.681650023293514;-23.588909983443514
